circuitId,circuit_name,country,lat,lng,total_races,avg_delta,avg_qualifying_gap,lap_time_variance,best_strategy_stops,avg_1stop_position,avg_2stop_position,overtaking_score,cluster_id,cluster_label,cluster,qualifying_lock_in_score,optimal_stop_count,compound_bias
54,Le Mans,France,47.95,0.224231,,,,,,,,,-1,,-1,,2,0
55,Reims-Gueux,France,49.2542,3.93083,,,,,,,,,-1,,-1,,2,0
56,Prince George Circuit,South Africa,-33.0486,27.8736,,,,,,,,,-1,,-1,,2,0
57,Zeltweg,Austria,47.2039,14.7478,,,,,,,,,-1,,-1,,2,0
58,Aintree,UK,53.4769,-2.94056,,,,,,,,,-1,,-1,,2,0
59,Circuito da Boavista,Portugal,41.1705,-8.67325,,,,,,,,,-1,,-1,,2,0
60,Riverside International Raceway,USA,33.937,-117.273,,,,,,,,,-1,,-1,,2,0
61,AVUS,Germany,52.4806,13.2514,,,,,,,,,-1,,-1,,2,0
62,Monsanto Park Circuit,Portugal,38.7197,-9.20306,,,,,,,,,-1,,-1,,2,0
63,Sebring International Raceway,USA,27.4547,-81.3483,,,,,,,,,-1,,-1,,2,0
64,Ain Diab,Morocco,33.5786,-7.6875,,,,,,,,,-1,,-1,,2,0
65,Pescara Circuit,Italy,42.475,14.1508,,,,,,,,,-1,,-1,,2,0
66,Circuit Bremgarten,Switzerland,46.9589,7.40194,,,,,,,,,-1,,-1,,2,0
67,Circuit de Pedralbes,Spain,41.3903,2.11667,,,,,,,,,-1,,-1,,2,0
68,Buddh International Circuit,India,28.3487,77.5331,3.0,1.6896551724137931,2080.6724137931033,4219.919706128393,2.0,10.095238095238097,9.433333333333334,Low,0,Mixed,1,52.6,2,0
69,Circuit of the Americas,USA,30.1328,-97.6411,13.0,1.5787037037037035,1901.7727272727273,8348.514537919413,4.0,9.105263157894736,9.209523809523809,Low,0,Mixed,1,53.1,4,0
70,Red Bull Ring,Austria,47.2197,14.7647,14.0,1.3869565217391304,1591.559829059829,6494.949527989796,1.0,8.787878787878787,9.024096385542167,Low,0,Mixed,1,53.9,1,0
71,Sochi Autodrom,Russia,43.4057,39.9578,8.0,1.1567164179104477,2467.1641791044776,11830.32231554183,1.0,7.844444444444444,11.209302325581396,Medium,0,Mixed,1,71.4,1,0
73,Baku City Circuit,Azerbaijan,40.3725,49.8533,9.0,1.789855072463768,1998.6950354609928,57952.78217942083,4.0,8.32876712328767,9.447368421052632,High,2,Strategy-Dominant,0,48.9,4,0
75,Autódromo Internacional do Algarve,Portugal,37.227,-8.6267,2.0,0.3421052631578947,1032.421052631579,8255.266074851905,4.0,9.266666666666667,12.75,Low,0,Qualifying-Dominant,2,73.6,4,0
76,Autodromo Internazionale del Mugello,Italy,43.9975,11.3719,1.0,2.6666666666666665,1282.4166666666667,253154.8640201235,5.0,,,High,1,,-1,16.9,5,0
77,Jeddah Corniche Circuit,Saudi Arabia,21.6319,39.1044,5.0,1.0,2068.185185185185,53970.2121755117,1.0,8.37704918032787,9.909090909090908,High,2,Strategy-Dominant,0,70.2,1,0
78,Losail International Circuit,Qatar,25.49,51.4542,4.0,0.8571428571428571,1236.7727272727273,12910.164734065089,3.0,9.444444444444445,8.91304347826087,Medium,0,Qualifying-Dominant,2,63.0,3,0
79,Miami International Autodrome,USA,25.9581,-80.2389,4.0,0.6521739130434783,917.304347826087,8220.972450492505,1.0,8.711864406779661,12.3,Low,0,Qualifying-Dominant,2,64.1,1,0
80,Las Vegas Strip Street Circuit,United States,36.1147,-115.173,3.0,1.2244897959183674,2194.94,10743.467700222758,1.0,8.571428571428571,8.925925925925926,Medium,0,Mixed,1,66.1,1,0
81,Madring,Spain,40.46528,-3.61528,,,,,,,,,-1,,-1,,2,0
